Series_reference,Period,Data_value,STATUS,UNITS,MAGNITUDE,Subject,Group,Series_title_1,Series_title_2,Series_title_3,Series_title_4,Series_title_5
SNEA.SG00NAC00B15,1972.03,6990,FINAL,Dollars,6,National Accounts - SNA 2008 - SNE,"Series, Key aggregates, Nominal, Actual, Total",Gross Domestic Product - expenditure measure,,,,
SNEA.SG00NAC00B15,1973.03,8080,FINAL,Dollars,6,National Accounts - SNA 2008 - SNE,"Series, Key aggregates, Nominal, Actual, Total",Gross Domestic Product - expenditure measure,,,,
SNEA.SG00NAC00B15,1974.03,9361,FINAL,Dollars,6,National Accounts - SNA 2008 - SNE,"Series, Key aggregates, Nominal, Actual, Total",Gross Domestic Product - expenditure measure,,,,
SNEA.SG00NAC00B15,1975.03,10203,FINAL,Dollars,6,National Accounts - SNA 2008 - SNE,"Series, Key aggregates, Nominal, Actual, Total",Gross Domestic Product - expenditure measure,,,,
SNEA.SG00NAC00B15,1976.03,11506,FINAL,Dollars,6,National Accounts - SNA 2008 - SNE,"Series, Key aggregates, Nominal, Actual, Total",Gross Domestic Product - expenditure measure,,,,
SNEA.SG00NAC00B15,1977.03,13972,FINAL,Dollars,6,National Accounts - SNA 2008 - SNE,"Series, Key aggregates, Nominal, Actual, Total",Gross Domestic Product - expenditure measure,,,,
SNEA.SG00NAC00B15,1978.03,15667,FINAL,Dollars,6,National Accounts - SNA 2008 - SNE,"Series, Key aggregates, Nominal, Actual, Total",Gross Domestic Product - expenditure measure,,,,
SNEA.SG00NAC00B15,1979.03,17810,FINAL,Dollars,6,National Accounts - SNA 2008 - SNE,"Series, Key aggregates, Nominal, Actual, Total",Gross Domestic Product - expenditure measure,,,,
SNEA.SG00NAC00B15,1980.03,20546,FINAL,Dollars,6,National Accounts - SNA 2008 - SNE,"Series, Key aggregates, Nominal, Actual, Total",Gross Domestic Product - expenditure measure,,,,
SNEA.SG00NAC00B15,1981.03,23988,FINAL,Dollars,6,National Accounts - SNA 2008 - SNE,"Series, Key aggregates, Nominal, Actual, Total",Gross Domestic Product - expenditure measure,,,,
SNEA.SG00NAC00B15,1982.03,29028,FINAL,Dollars,6,National Accounts - SNA 2008 - SNE,"Series, Key aggregates, Nominal, Actual, Total",Gross Domestic Product - expenditure measure,,,,
SNEA.SG00NAC00B15,1983.03,33426,FINAL,Dollars,6,National Accounts - SNA 2008 - SNE,"Series, Key aggregates, Nominal, Actual, Total",Gross Domestic Product - expenditure measure,,,,
SNEA.SG00NAC00B15,1984.03,37253,FINAL,Dollars,6,National Accounts - SNA 2008 - SNE,"Series, Key aggregates, Nominal, Actual, Total",Gross Domestic Product - expenditure measure,,,,
SNEA.SG00NAC00B15,1985.03,42244,FINAL,Dollars,6,National Accounts - SNA 2008 - SNE,"Series, Key aggregates, Nominal, Actual, Total",Gross Domestic Product - expenditure measure,,,,
SNEA.SG00NAC00B15,1986.03,48779,FINAL,Dollars,6,National Accounts - SNA 2008 - SNE,"Series, Key aggregates, Nominal, Actual, Total",Gross Domestic Product - expenditure measure,,,,
SNEA.SG00NAC00B15,1987.03,57953,FINAL,Dollars,6,National Accounts - SNA 2008 - SNE,"Series, Key aggregates, Nominal, Actual, Total",Gross Domestic Product - expenditure measure,,,,
SNEA.SG00NAC00B15,1988.03,65167,FINAL,Dollars,6,National Accounts - SNA 2008 - SNE,"Series, Key aggregates, Nominal, Actual, Total",Gross Domestic Product - expenditure measure,,,,
SNEA.SG00NAC00B15,1989.03,70628,FINAL,Dollars,6,National Accounts - SNA 2008 - SNE,"Series, Key aggregates, Nominal, Actual, Total",Gross Domestic Product - expenditure measure,,,,
SNEA.SG00NAC00B15,1990.03,74635,FINAL,Dollars,6,National Accounts - SNA 2008 - SNE,"Series, Key aggregates, Nominal, Actual, Total",Gross Domestic Product - expenditure measure,,,,
SNEA.SG00NAC00B15,1991.03,76167,FINAL,Dollars,6,National Accounts - SNA 2008 - SNE,"Series, Key aggregates, Nominal, Actual, Total",Gross Domestic Product - expenditure measure,,,,
SNEA.SG00NAC00B15,1992.03,75986,FINAL,Dollars,6,National Accounts - SNA 2008 - SNE,"Series, Key aggregates, Nominal, Actual, Total",Gross Domestic Product - expenditure measure,,,,
SNEA.SG00NAC00B15,1993.03,78309,FINAL,Dollars,6,National Accounts - SNA 2008 - SNE,"Series, Key aggregates, Nominal, Actual, Total",Gross Domestic Product - expenditure measure,,,,
SNEA.SG00NAC00B15,1994.03,84460,FINAL,Dollars,6,National Accounts - SNA 2008 - SNE,"Series, Key aggregates, Nominal, Actual, Total",Gross Domestic Product - expenditure measure,,,,
SNEA.SG00NAC00B15,1995.03,90337,FINAL,Dollars,6,National Accounts - SNA 2008 - SNE,"Series, Key aggregates, Nominal, Actual, Total",Gross Domestic Product - expenditure measure,,,,
SNEA.SG00NAC00B15,1996.03,96236,FINAL,Dollars,6,National Accounts - SNA 2008 - SNE,"Series, Key aggregates, Nominal, Actual, Total",Gross Domestic Product - expenditure measure,,,,
SNEA.SG00NAC00B15,1997.03,101101,FINAL,Dollars,6,National Accounts - SNA 2008 - SNE,"Series, Key aggregates, Nominal, Actual, Total",Gross Domestic Product - expenditure measure,,,,
SNEA.SG00NAC00B15,1998.03,104815,FINAL,Dollars,6,National Accounts - SNA 2008 - SNE,"Series, Key aggregates, Nominal, Actual, Total",Gross Domestic Product - expenditure measure,,,,
SNEA.SG00NAC00B15,1999.03,106826,FINAL,Dollars,6,National Accounts - SNA 2008 - SNE,"Series, Key aggregates, Nominal, Actual, Total",Gross Domestic Product - expenditure measure,,,,
SNEA.SG00NAC00B15,2000.03,113229,FINAL,Dollars,6,National Accounts - SNA 2008 - SNE,"Series, Key aggregates, Nominal, Actual, Total",Gross Domestic Product - expenditure measure,,,,
SNEA.SG00NAC00B15,2001.03,119839,FINAL,Dollars,6,National Accounts - SNA 2008 - SNE,"Series, Key aggregates, Nominal, Actual, Total",Gross Domestic Product - expenditure measure,,,,
SNEA.SG00NAC00B15,2002.03,128712,FINAL,Dollars,6,National Accounts - SNA 2008 - SNE,"Series, Key aggregates, Nominal, Actual, Total",Gross Domestic Product - expenditure measure,,,,
SNEA.SG00NAC00B15,2003.03,135181,FINAL,Dollars,6,National Accounts - SNA 2008 - SNE,"Series, Key aggregates, Nominal, Actual, Total",Gross Domestic Product - expenditure measure,,,,
SNEA.SG00NAC00B15,2004.03,144502,FINAL,Dollars,6,National Accounts - SNA 2008 - SNE,"Series, Key aggregates, Nominal, Actual, Total",Gross Domestic Product - expenditure measure,,,,
SNEA.SG00NAC00B15,2005.03,154559,FINAL,Dollars,6,National Accounts - SNA 2008 - SNE,"Series, Key aggregates, Nominal, Actual, Total",Gross Domestic Product - expenditure measure,,,,
SNEA.SG00NAC00B15,2006.03,162937,FINAL,Dollars,6,National Accounts - SNA 2008 - SNE,"Series, Key aggregates, Nominal, Actual, Total",Gross Domestic Product - expenditure measure,,,,
SNEA.SG00NAC00B15,2007.03,172004,FINAL,Dollars,6,National Accounts - SNA 2008 - SNE,"Series, Key aggregates, Nominal, Actual, Total",Gross Domestic Product - expenditure measure,,,,
SNEA.SG00NAC00B15,2008.03,186673,FINAL,Dollars,6,National Accounts - SNA 2008 - SNE,"Series, Key aggregates, Nominal, Actual, Total",Gross Domestic Product - expenditure measure,,,,
SNEA.SG00NAC00B15,2009.03,189841,FINAL,Dollars,6,National Accounts - SNA 2008 - SNE,"Series, Key aggregates, Nominal, Actual, Total",Gross Domestic Product - expenditure measure,,,,
SNEA.SG00NAC00B15,2010.03,194770,FINAL,Dollars,6,National Accounts - SNA 2008 - SNE,"Series, Key aggregates, Nominal, Actual, Total",Gross Domestic Product - expenditure measure,,,,
SNEA.SG00NAC00B15,2011.03,203856,FINAL,Dollars,6,National Accounts - SNA 2008 - SNE,"Series, Key aggregates, Nominal, Actual, Total",Gross Domestic Product - expenditure measure,,,,
SNEA.SG00NAC00B15,2012.03,213237,FINAL,Dollars,6,National Accounts - SNA 2008 - SNE,"Series, Key aggregates, Nominal, Actual, Total",Gross Domestic Product - expenditure measure,,,,
SNEA.SG00NAC00B15,2013.03,217861,FINAL,Dollars,6,National Accounts - SNA 2008 - SNE,"Series, Key aggregates, Nominal, Actual, Total",Gross Domestic Product - expenditure measure,,,,
SNEA.SG00NAC00B15,2014.03,232837,FINAL,Dollars,6,National Accounts - SNA 2008 - SNE,"Series, Key aggregates, Nominal, Actual, Total",Gross Domestic Product - expenditure measure,,,,
SNEA.SG00NAC00B15,2015.03,242817,FINAL,Dollars,6,National Accounts - SNA 2008 - SNE,"Series, Key aggregates, Nominal, Actual, Total",Gross Domestic Product - expenditure measure,,,,
SNEA.SG00NAC00B15,2016.03,255459,FINAL,Dollars,6,National Accounts - SNA 2008 - SNE,"Series, Key aggregates, Nominal, Actual, Total",Gross Domestic Product - expenditure measure,,,,
SNEA.SG00NAC00B15,2017.03,271475,FINAL,Dollars,6,National Accounts - SNA 2008 - SNE,"Series, Key aggregates, Nominal, Actual, Total",Gross Domestic Product - expenditure measure,,,,
SNEA.SG00NAC00B15,2018.03,290717,FINAL,Dollars,6,National Accounts - SNA 2008 - SNE,"Series, Key aggregates, Nominal, Actual, Total",Gross Domestic Product - expenditure measure,,,,
SNEA.SG00NAC00B15,2019.03,305999,FINAL,Dollars,6,National Accounts - SNA 2008 - SNE,"Series, Key aggregates, Nominal, Actual, Total",Gross Domestic Product - expenditure measure,,,,
SNEA.SG00NAC00B15,2020.03,323441,FINAL,Dollars,6,National Accounts - SNA 2008 - SNE,"Series, Key aggregates, Nominal, Actual, Total",Gross Domestic Product - expenditure measure,,,,
SNEA.SG00NAC00B15,2021.03,328949,FINAL,Dollars,6,National Accounts - SNA 2008 - SNE,"Series, Key aggregates, Nominal, Actual, Total",Gross Domestic Product - expenditure measure,,,,
SNEA.SG00NAC00B15,2022.03,358726,FINAL,Dollars,6,National Accounts - SNA 2008 - SNE,"Series, Key aggregates, Nominal, Actual, Total",Gross Domestic Product - expenditure measure,,,,
SNEA.SG00NAC00B15,2023.03,393859,FINAL,Dollars,6,National Accounts - SNA 2008 - SNE,"Series, Key aggregates, Nominal, Actual, Total",Gross Domestic Product - expenditure measure,,,,
SNEA.SG00NAC00B15,2024.03,417485,FINAL,Dollars,6,National Accounts - SNA 2008 - SNE,"Series, Key aggregates, Nominal, Actual, Total",Gross Domestic Product - expenditure measure,,,,
SNEA.SG00NAC00B15,2025.03,431520,REVISED,Dollars,6,National Accounts - SNA 2008 - SNE,"Series, Key aggregates, Nominal, Actual, Total",Gross Domestic Product - expenditure measure,,,,
SNEA.SG00NAC00B15,2026.03,450959,FINAL,Dollars,6,National Accounts - SNA 2008 - SNE,"Series, Key aggregates, Nominal, Actual, Total",Gross Domestic Product - expenditure measure,,,,
SNEA.SG00NAC00B15D,1987.12,63384,FINAL,Dollars,6,National Accounts - SNA 2008 - SNE,"Series, Rolling Annuals, Key aggregates, Nominal, Actual, Total",Gross Domestic Product - expenditure measure,,,,
SNEA.SG00NAC00B15D,1988.12,69365,FINAL,Dollars,6,National Accounts - SNA 2008 - SNE,"Series, Rolling Annuals, Key aggregates, Nominal, Actual, Total",Gross Domestic Product - expenditure measure,,,,
SNEA.SG00NAC00B15D,1989.12,73742,FINAL,Dollars,6,National Accounts - SNA 2008 - SNE,"Series, Rolling Annuals, Key aggregates, Nominal, Actual, Total",Gross Domestic Product - expenditure measure,,,,
SNEA.SG00NAC00B15D,1990.12,76593,FINAL,Dollars,6,National Accounts - SNA 2008 - SNE,"Series, Rolling Annuals, Key aggregates, Nominal, Actual, Total",Gross Domestic Product - expenditure measure,,,,
SNEA.SG00NAC00B15D,1991.12,75236,FINAL,Dollars,6,National Accounts - SNA 2008 - SNE,"Series, Rolling Annuals, Key aggregates, Nominal, Actual, Total",Gross Domestic Product - expenditure measure,,,,
SNEA.SG00NAC00B15D,1992.12,77279,FINAL,Dollars,6,National Accounts - SNA 2008 - SNE,"Series, Rolling Annuals, Key aggregates, Nominal, Actual, Total",Gross Domestic Product - expenditure measure,,,,
SNEA.SG00NAC00B15D,1993.12,82862,FINAL,Dollars,6,National Accounts - SNA 2008 - SNE,"Series, Rolling Annuals, Key aggregates, Nominal, Actual, Total",Gross Domestic Product - expenditure measure,,,,
SNEA.SG00NAC00B15D,1994.12,89136,FINAL,Dollars,6,National Accounts - SNA 2008 - SNE,"Series, Rolling Annuals, Key aggregates, Nominal, Actual, Total",Gross Domestic Product - expenditure measure,,,,
SNEA.SG00NAC00B15D,1995.12,94819,FINAL,Dollars,6,National Accounts - SNA 2008 - SNE,"Series, Rolling Annuals, Key aggregates, Nominal, Actual, Total",Gross Domestic Product - expenditure measure,,,,
SNEA.SG00NAC00B15D,1996.12,100492,FINAL,Dollars,6,National Accounts - SNA 2008 - SNE,"Series, Rolling Annuals, Key aggregates, Nominal, Actual, Total",Gross Domestic Product - expenditure measure,,,,
SNEA.SG00NAC00B15D,1997.12,103869,FINAL,Dollars,6,National Accounts - SNA 2008 - SNE,"Series, Rolling Annuals, Key aggregates, Nominal, Actual, Total",Gross Domestic Product - expenditure measure,,,,
SNEA.SG00NAC00B15D,1998.12,105872,FINAL,Dollars,6,National Accounts - SNA 2008 - SNE,"Series, Rolling Annuals, Key aggregates, Nominal, Actual, Total",Gross Domestic Product - expenditure measure,,,,
SNEA.SG00NAC00B15D,1999.12,111225,FINAL,Dollars,6,National Accounts - SNA 2008 - SNE,"Series, Rolling Annuals, Key aggregates, Nominal, Actual, Total",Gross Domestic Product - expenditure measure,,,,
SNEA.SG00NAC00B15D,2000.12,118344,FINAL,Dollars,6,National Accounts - SNA 2008 - SNE,"Series, Rolling Annuals, Key aggregates, Nominal, Actual, Total",Gross Domestic Product - expenditure measure,,,,
SNEA.SG00NAC00B15D,2001.12,126302,FINAL,Dollars,6,National Accounts - SNA 2008 - SNE,"Series, Rolling Annuals, Key aggregates, Nominal, Actual, Total",Gross Domestic Product - expenditure measure,,,,
SNEA.SG00NAC00B15D,2002.12,133688,FINAL,Dollars,6,National Accounts - SNA 2008 - SNE,"Series, Rolling Annuals, Key aggregates, Nominal, Actual, Total",Gross Domestic Product - expenditure measure,,,,
SNEA.SG00NAC00B15D,2003.12,141530,FINAL,Dollars,6,National Accounts - SNA 2008 - SNE,"Series, Rolling Annuals, Key aggregates, Nominal, Actual, Total",Gross Domestic Product - expenditure measure,,,,
SNEA.SG00NAC00B15D,2004.12,153010,FINAL,Dollars,6,National Accounts - SNA 2008 - SNE,"Series, Rolling Annuals, Key aggregates, Nominal, Actual, Total",Gross Domestic Product - expenditure measure,,,,
SNEA.SG00NAC00B15D,2005.12,160806,FINAL,Dollars,6,National Accounts - SNA 2008 - SNE,"Series, Rolling Annuals, Key aggregates, Nominal, Actual, Total",Gross Domestic Product - expenditure measure,,,,
SNEA.SG00NAC00B15D,2006.12,168964,FINAL,Dollars,6,National Accounts - SNA 2008 - SNE,"Series, Rolling Annuals, Key aggregates, Nominal, Actual, Total",Gross Domestic Product - expenditure measure,,,,
SNEA.SG00NAC00B15D,2007.12,183189,FINAL,Dollars,6,National Accounts - SNA 2008 - SNE,"Series, Rolling Annuals, Key aggregates, Nominal, Actual, Total",Gross Domestic Product - expenditure measure,,,,
SNEA.SG00NAC00B15D,2008.12,189784,FINAL,Dollars,6,National Accounts - SNA 2008 - SNE,"Series, Rolling Annuals, Key aggregates, Nominal, Actual, Total",Gross Domestic Product - expenditure measure,,,,
SNEA.SG00NAC00B15D,2009.12,192351,FINAL,Dollars,6,National Accounts - SNA 2008 - SNE,"Series, Rolling Annuals, Key aggregates, Nominal, Actual, Total",Gross Domestic Product - expenditure measure,,,,
SNEA.SG00NAC00B15D,2010.12,202056,FINAL,Dollars,6,National Accounts - SNA 2008 - SNE,"Series, Rolling Annuals, Key aggregates, Nominal, Actual, Total",Gross Domestic Product - expenditure measure,,,,
SNEA.SG00NAC00B15D,2011.12,211271,FINAL,Dollars,6,National Accounts - SNA 2008 - SNE,"Series, Rolling Annuals, Key aggregates, Nominal, Actual, Total",Gross Domestic Product - expenditure measure,,,,
SNEA.SG00NAC00B15D,2012.12,216285,FINAL,Dollars,6,National Accounts - SNA 2008 - SNE,"Series, Rolling Annuals, Key aggregates, Nominal, Actual, Total",Gross Domestic Product - expenditure measure,,,,
SNEA.SG00NAC00B15D,2013.12,228177,FINAL,Dollars,6,National Accounts - SNA 2008 - SNE,"Series, Rolling Annuals, Key aggregates, Nominal, Actual, Total",Gross Domestic Product - expenditure measure,,,,
SNEA.SG00NAC00B15D,2014.12,240990,FINAL,Dollars,6,National Accounts - SNA 2008 - SNE,"Series, Rolling Annuals, Key aggregates, Nominal, Actual, Total",Gross Domestic Product - expenditure measure,,,,
SNEA.SG00NAC00B15D,2015.12,251868,FINAL,Dollars,6,National Accounts - SNA 2008 - SNE,"Series, Rolling Annuals, Key aggregates, Nominal, Actual, Total",Gross Domestic Product - expenditure measure,,,,
SNEA.SG00NAC00B15D,2016.12,266842,REVISED,Dollars,6,National Accounts - SNA 2008 - SNE,"Series, Rolling Annuals, Key aggregates, Nominal, Actual, Total",Gross Domestic Product - expenditure measure,,,,
SNEA.SG00NAC00B15D,2017.12,286507,FINAL,Dollars,6,National Accounts - SNA 2008 - SNE,"Series, Rolling Annuals, Key aggregates, Nominal, Actual, Total",Gross Domestic Product - expenditure measure,,,,
SNEA.SG00NAC00B15D,2018.12,302315,FINAL,Dollars,6,National Accounts - SNA 2008 - SNE,"Series, Rolling Annuals, Key aggregates, Nominal, Actual, Total",Gross Domestic Product - expenditure measure,,,,
SNEA.SG00NAC00B15D,2019.12,319987,FINAL,Dollars,6,National Accounts - SNA 2008 - SNE,"Series, Rolling Annuals, Key aggregates, Nominal, Actual, Total",Gross Domestic Product - expenditure measure,,,,
SNEA.SG00NAC00B15D,2020.12,324358,FINAL,Dollars,6,National Accounts - SNA 2008 - SNE,"Series, Rolling Annuals, Key aggregates, Nominal, Actual, Total",Gross Domestic Product - expenditure measure,,,,
SNEA.SG00NAC00B15D,2021.12,352949,REVISED,Dollars,6,National Accounts - SNA 2008 - SNE,"Series, Rolling Annuals, Key aggregates, Nominal, Actual, Total",Gross Domestic Product - expenditure measure,,,,
SNEA.SG00NAC00B15D,2022.12,385438,REVISED,Dollars,6,National Accounts - SNA 2008 - SNE,"Series, Rolling Annuals, Key aggregates, Nominal, Actual, Total",Gross Domestic Product - expenditure measure,,,,
SNEA.SG00NAC00B15D,2023.12,412531,REVISED,Dollars,6,National Accounts - SNA 2008 - SNE,"Series, Rolling Annuals, Key aggregates, Nominal, Actual, Total",Gross Domestic Product - expenditure measure,,,,
SNEA.SG00NAC00B15D,2024.12,427342,REVISED,Dollars,6,National Accounts - SNA 2008 - SNE,"Series, Rolling Annuals, Key aggregates, Nominal, Actual, Total",Gross Domestic Product - expenditure measure,,,,
SNEA.SG00NAC00B15D,2025.12,445424,REVISED,Dollars,6,National Accounts - SNA 2008 - SNE,"Series, Rolling Annuals, Key aggregates, Nominal, Actual, Total",Gross Domestic Product - expenditure measure,,,,
SNEA.SG00NAC00B15J,1987.06,59867,FINAL,Dollars,6,National Accounts - SNA 2008 - SNE,"Series, Rolling Annuals, Key aggregates, Nominal, Actual, Total",Gross Domestic Product - expenditure measure,,,,
SNEA.SG00NAC00B15J,1988.06,66295,FINAL,Dollars,6,National Accounts - SNA 2008 - SNE,"Series, Rolling Annuals, Key aggregates, Nominal, Actual, Total",Gross Domestic Product - expenditure measure,,,,
SNEA.SG00NAC00B15J,1989.06,72119,FINAL,Dollars,6,National Accounts - SNA 2008 - SNE,"Series, Rolling Annuals, Key aggregates, Nominal, Actual, Total",Gross Domestic Product - expenditure measure,,,,
SNEA.SG00NAC00B15J,1990.06,75140,FINAL,Dollars,6,National Accounts - SNA 2008 - SNE,"Series, Rolling Annuals, Key aggregates, Nominal, Actual, Total",Gross Domestic Product - expenditure measure,,,,
SNEA.SG00NAC00B15J,1991.06,75959,FINAL,Dollars,6,National Accounts - SNA 2008 - SNE,"Series, Rolling Annuals, Key aggregates, Nominal, Actual, Total",Gross Domestic Product - expenditure measure,,,,
SNEA.SG00NAC00B15J,1992.06,76923,FINAL,Dollars,6,National Accounts - SNA 2008 - SNE,"Series, Rolling Annuals, Key aggregates, Nominal, Actual, Total",Gross Domestic Product - expenditure measure,,,,
SNEA.SG00NAC00B15J,1993.06,79348,FINAL,Dollars,6,National Accounts - SNA 2008 - SNE,"Series, Rolling Annuals, Key aggregates, Nominal, Actual, Total",Gross Domestic Product - expenditure measure,,,,
SNEA.SG00NAC00B15J,1994.06,86032,FINAL,Dollars,6,National Accounts - SNA 2008 - SNE,"Series, Rolling Annuals, Key aggregates, Nominal, Actual, Total",Gross Domestic Product - expenditure measure,,,,
SNEA.SG00NAC00B15J,1995.06,91897,FINAL,Dollars,6,National Accounts - SNA 2008 - SNE,"Series, Rolling Annuals, Key aggregates, Nominal, Actual, Total",Gross Domestic Product - expenditure measure,,,,
SNEA.SG00NAC00B15J,1996.06,97569,FINAL,Dollars,6,National Accounts - SNA 2008 - SNE,"Series, Rolling Annuals, Key aggregates, Nominal, Actual, Total",Gross Domestic Product - expenditure measure,,,,
SNEA.SG00NAC00B15J,1997.06,102106,FINAL,Dollars,6,National Accounts - SNA 2008 - SNE,"Series, Rolling Annuals, Key aggregates, Nominal, Actual, Total",Gross Domestic Product - expenditure measure,,,,
SNEA.SG00NAC00B15J,1998.06,104918,FINAL,Dollars,6,National Accounts - SNA 2008 - SNE,"Series, Rolling Annuals, Key aggregates, Nominal, Actual, Total",Gross Domestic Product - expenditure measure,,,,
SNEA.SG00NAC00B15J,1999.06,108197,FINAL,Dollars,6,National Accounts - SNA 2008 - SNE,"Series, Rolling Annuals, Key aggregates, Nominal, Actual, Total",Gross Domestic Product - expenditure measure,,,,
SNEA.SG00NAC00B15J,2000.06,114664,FINAL,Dollars,6,National Accounts - SNA 2008 - SNE,"Series, Rolling Annuals, Key aggregates, Nominal, Actual, Total",Gross Domestic Product - expenditure measure,,,,
SNEA.SG00NAC00B15J,2001.06,122209,FINAL,Dollars,6,National Accounts - SNA 2008 - SNE,"Series, Rolling Annuals, Key aggregates, Nominal, Actual, Total",Gross Domestic Product - expenditure measure,,,,
SNEA.SG00NAC00B15J,2002.06,129944,FINAL,Dollars,6,National Accounts - SNA 2008 - SNE,"Series, Rolling Annuals, Key aggregates, Nominal, Actual, Total",Gross Domestic Product - expenditure measure,,,,
SNEA.SG00NAC00B15J,2003.06,137176,FINAL,Dollars,6,National Accounts - SNA 2008 - SNE,"Series, Rolling Annuals, Key aggregates, Nominal, Actual, Total",Gross Domestic Product - expenditure measure,,,,
SNEA.SG00NAC00B15J,2004.06,147564,FINAL,Dollars,6,National Accounts - SNA 2008 - SNE,"Series, Rolling Annuals, Key aggregates, Nominal, Actual, Total",Gross Domestic Product - expenditure measure,,,,
SNEA.SG00NAC00B15J,2005.06,156805,FINAL,Dollars,6,National Accounts - SNA 2008 - SNE,"Series, Rolling Annuals, Key aggregates, Nominal, Actual, Total",Gross Domestic Product - expenditure measure,,,,
SNEA.SG00NAC00B15J,2006.06,164471,FINAL,Dollars,6,National Accounts - SNA 2008 - SNE,"Series, Rolling Annuals, Key aggregates, Nominal, Actual, Total",Gross Domestic Product - expenditure measure,,,,
SNEA.SG00NAC00B15J,2007.06,175412,FINAL,Dollars,6,National Accounts - SNA 2008 - SNE,"Series, Rolling Annuals, Key aggregates, Nominal, Actual, Total",Gross Domestic Product - expenditure measure,,,,
SNEA.SG00NAC00B15J,2008.06,188934,FINAL,Dollars,6,National Accounts - SNA 2008 - SNE,"Series, Rolling Annuals, Key aggregates, Nominal, Actual, Total",Gross Domestic Product - expenditure measure,,,,
SNEA.SG00NAC00B15J,2009.06,189863,FINAL,Dollars,6,National Accounts - SNA 2008 - SNE,"Series, Rolling Annuals, Key aggregates, Nominal, Actual, Total",Gross Domestic Product - expenditure measure,,,,
SNEA.SG00NAC00B15J,2010.06,197354,FINAL,Dollars,6,National Accounts - SNA 2008 - SNE,"Series, Rolling Annuals, Key aggregates, Nominal, Actual, Total",Gross Domestic Product - expenditure measure,,,,
SNEA.SG00NAC00B15J,2011.06,206116,FINAL,Dollars,6,National Accounts - SNA 2008 - SNE,"Series, Rolling Annuals, Key aggregates, Nominal, Actual, Total",Gross Domestic Product - expenditure measure,,,,
SNEA.SG00NAC00B15J,2012.06,215153,FINAL,Dollars,6,National Accounts - SNA 2008 - SNE,"Series, Rolling Annuals, Key aggregates, Nominal, Actual, Total",Gross Domestic Product - expenditure measure,,,,
SNEA.SG00NAC00B15J,2013.06,219117,FINAL,Dollars,6,National Accounts - SNA 2008 - SNE,"Series, Rolling Annuals, Key aggregates, Nominal, Actual, Total",Gross Domestic Product - expenditure measure,,,,
SNEA.SG00NAC00B15J,2014.06,237035,FINAL,Dollars,6,National Accounts - SNA 2008 - SNE,"Series, Rolling Annuals, Key aggregates, Nominal, Actual, Total",Gross Domestic Product - expenditure measure,,,,
SNEA.SG00NAC00B15J,2015.06,245769,FINAL,Dollars,6,National Accounts - SNA 2008 - SNE,"Series, Rolling Annuals, Key aggregates, Nominal, Actual, Total",Gross Domestic Product - expenditure measure,,,,
SNEA.SG00NAC00B15J,2016.06,258808,FINAL,Dollars,6,National Accounts - SNA 2008 - SNE,"Series, Rolling Annuals, Key aggregates, Nominal, Actual, Total",Gross Domestic Product - expenditure measure,,,,
SNEA.SG00NAC00B15J,2017.06,275702,REVISED,Dollars,6,National Accounts - SNA 2008 - SNE,"Series, Rolling Annuals, Key aggregates, Nominal, Actual, Total",Gross Domestic Product - expenditure measure,,,,
SNEA.SG00NAC00B15J,2018.06,295521,REVISED,Dollars,6,National Accounts - SNA 2008 - SNE,"Series, Rolling Annuals, Key aggregates, Nominal, Actual, Total",Gross Domestic Product - expenditure measure,,,,
SNEA.SG00NAC00B15J,2019.06,310160,FINAL,Dollars,6,National Accounts - SNA 2008 - SNE,"Series, Rolling Annuals, Key aggregates, Nominal, Actual, Total",Gross Domestic Product - expenditure measure,,,,
SNEA.SG00NAC00B15J,2020.06,317963,FINAL,Dollars,6,National Accounts - SNA 2008 - SNE,"Series, Rolling Annuals, Key aggregates, Nominal, Actual, Total",Gross Domestic Product - expenditure measure,,,,
SNEA.SG00NAC00B15J,2021.06,343715,REVISED,Dollars,6,National Accounts - SNA 2008 - SNE,"Series, Rolling Annuals, Key aggregates, Nominal, Actual, Total",Gross Domestic Product - expenditure measure,,,,
SNEA.SG00NAC00B15J,2022.06,365432,REVISED,Dollars,6,National Accounts - SNA 2008 - SNE,"Series, Rolling Annuals, Key aggregates, Nominal, Actual, Total",Gross Domestic Product - expenditure measure,,,,
SNEA.SG00NAC00B15J,2023.06,401902,REVISED,Dollars,6,National Accounts - SNA 2008 - SNE,"Series, Rolling Annuals, Key aggregates, Nominal, Actual, Total",Gross Domestic Product - expenditure measure,,,,
SNEA.SG00NAC00B15J,2024.06,420850,REVISED,Dollars,6,National Accounts - SNA 2008 - SNE,"Series, Rolling Annuals, Key aggregates, Nominal, Actual, Total",Gross Domestic Product - expenditure measure,,,,
SNEA.SG00NAC00B15J,2025.06,435126,REVISED,Dollars,6,National Accounts - SNA 2008 - SNE,"Series, Rolling Annuals, Key aggregates, Nominal, Actual, Total",Gross Domestic Product - expenditure measure,,,,
SNEA.SG00NAC00B15M,1988.03,65167,FINAL,Dollars,6,National Accounts - SNA 2008 - SNE,"Series, Rolling Annuals, Key aggregates, Nominal, Actual, Total",Gross Domestic Product - expenditure measure,,,,
SNEA.SG00NAC00B15M,1989.03,70628,FINAL,Dollars,6,National Accounts - SNA 2008 - SNE,"Series, Rolling Annuals, Key aggregates, Nominal, Actual, Total",Gross Domestic Product - expenditure measure,,,,
